Event Name,Event Type,Start Date,Start Time,Finish Date,Finish Time,Location (address),Location (city),Location (country),Event Description,Event Link,Event Cost (other details),Recurring,
World Braille Day,Cultural Events,4/1/2023,n/a,4/1/2023,n/a,n/a,n/a,Worldwide,A day to raise awareness of the importance of Braille as a means of communication in the full realization of the human rights for blind and partially sighted people.,https://www.un.org/en/observances/braille-day,,https://drive.google.com/file/d/1d5WuU6wctxPJScZWZgbSzo07iNcpMBVr/view?usp=sharing,Annual
Chinese New Year,Cultural Events,22/01/2023,n/a,22/01/2023,n/a,n/a,n/a,Worldwide,The New Year according to the Chinese Calendar. In 2023 we welcome the Year of the Rabbit. The event is celebrated all around the world.,,,https://drive.google.com/file/d/1DCXdotxi4ztV8CNoNtvV2FlSkcAE8Vtr/view?usp=sharing,Annual
Children's Mental Health Week,Cultural Events,6/2/2023,n/a,12/6/2023,n/a,n/a,n/a,Worldwide,"Shines a spotlight on the importance of children and young people's mental health, raises awareness and campaigns for all children to have access to mental health support.",https://www.childrensmentalhealthweek.org.uk/,,https://drive.google.com/file/d/19UBQipv3XtTwY5fiJZpf5zmaO3G854-k/view?usp=sharing,Annual
Charles Dickens Day,Cultural Events,7/2/2023,n/a,7/2/2023,n/a,n/a,n/a,US,Celebrating one of Britain's greatest writers on his birthday.,n/a,,https://drive.google.com/file/d/1lyHw0YVa9EDHkt8CIhpizhF3YPgOCJ93/view?usp=sharing,Annual
World Book Day,Cultural Events,2/3/2023,n/a,2/3/2023,n/a,n/a,n/a,US,"Annual celebration of books and reading celebrated by reading, book related activities and dressing up as characters from books.",https://www.worldbookday.com/,,https://drive.google.com/file/d/1PDRwPYZCJDDewBnzhTRdmpHUgBsPC-4j/view?usp=sharing,Annual
Shakespeare Week,Cultural Events,20/3/2023,n/a,26/3/2023,n/a,n/a,n/a,UK,Shakespeare Week is a national annual celebration giving primary school aged children opportunities for enriching and enjoyable early encounters with Shakespeare.,https://www.shakespeareweek.org.uk/,,https://drive.google.com/file/d/1EajkmcuRv1rU5-AzZ46ym6HxtP7A1cCS/view?usp=sharing,Annual
World Poetry Day,Cultural Events,21/3/2023,n/a,21/3/2023,n/a,n/a,n/a,Worldwide,"A UNESCO day to promote the reading, writing, publishing and teaching of poetry throughout the world.",https://www.un.org/en/observances/world-poetry-day,,https://drive.google.com/file/d/1iFsxu2tvdgpC57xhGvIWxQhvT5X4_iy3/view?usp=sharing,Annual
World Book Night,Cultural Events,23/4/2023,n/a,23/4/2023,n/a,n/a,n/a,Worldwide,World Book Night brings people from all backgrounds together for one reason - to inspire others to read more.,https://worldbooknight.org/,,https://drive.google.com/file/d/1yMMvQcx2K_AK9jDN3C7Lf3ZQPVDFxn0o/view?usp=sharing,Annual
Europe Day,Cultural Events,5/5/2023,n/a,5/5/2023,n/a,n/a,n/a,EU,A day celebrating peace and unity in Europe. It is celebrated celebrated by displaying the Flag of Europe and commemorates the founding of the Council of Europe.,https://europa.eu/,,https://drive.google.com/file/d/1ySigo2RwfY00Q1M91mLDcDuCTZ4QIEP7/view?usp=sharing,Annual
International Nurses Day,Cultural Events,12/5/2023,n/a,12/5/2023,n/a,n/a,n/a,Worldwide,Held on the birthday of Florence Nightingale to mark the contributions that nurses make to society.,https://www.icn.ch/what-we-do/campaigns/international-nurses-day,,https://drive.google.com/file/d/11ongySg1MSgO6GYsnQWCj-zrDDUoalGB/view?usp=sharing,Annual
Harry Potter's Birthday,Cultural Events,31/07/2023,n/a,31/07/2023,n/a,n/a,n/a,Worldwide,Harry shares his birthday with author J.K. Rowling.,https://www.wizardingworld.com/ ,,https://drive.google.com/file/d/1ZFV5E6YCMlD5z_tpcFjrvlbmIz5hfQDv/view?usp=sharing,Annual
Yorkshire Day,Cultural Events,1/8/2023,n/a,1/8/2023,n/a,n/a,n/a,Worldwide,"Yorkshire Day is a yearly celebration on 1 August to promote the historic county of Yorkshire, England. It was celebrated by the Yorkshire Ridings Society in 1975, initially in Beverley, as ""a protest movement against the local government re-organisation of 1974",n/a,,https://drive.google.com/file/d/1OIbjGtvkAIoJE1Q2WaiRmfK7SncTfxRr/view?usp=sharing,Annual
International Cat Day,Cultural Events,8/8/2023,n/a,8/8/2023,n/a,n/a,n/a,Worldwide,International Cat Day is a celebration which takes place on 8 August of every year. It was created in 2002 by the International Fund for Animal Welfare. It is a day to raise awareness for cats and learn about ways to help and protect them.,n/a,,https://drive.google.com/file/d/1I-59K10-1U7wrswNBeEzAtpPxUPoXUUh/view?usp=sharing,Annual
International Dog Day,Cultural Events,26/8/2023,n/a,26/8/2023,n/a,n/a,n/a,Worldwide,All purebred and mixed breed dogs are celebrated on National Dog Day. One of the goals of the holiday is for people to recognize how many dogs need to get rescued every year. The holiday also acknowledges working and family dogs that work every day to bring us comfort and save lives.,n/a,,https://drive.google.com/file/d/1a9__Vt6EdF6OsJOa5hQh72gmiXLtJFMX/view?usp=sharing,Annual
Zero Waste Week,Cultural Events,4/9/2023,n/a,8/9/2023,n/a,n/a,n/a,Worldwide,"Zero Waste Week is an award-winning campaign that was founded in 2008 by sustainability consultant Rachelle Strauss. It takes a non-commercial, grass-roots approach to raise awareness about the environmental impact of our waste using a variety of online and real-world events and platforms.",n/a,,https://drive.google.com/file/d/1oH-jRimlNylsE4w4h0A4-b37CVuuuLsb/view?usp=sharing,Annual
Read a Book Day,Cultural Events,6/9/2023,n/a,6/9/2023,n/a,n/a,n/a,Worldwide,"National Read a Book Day on September 6 calls all book lovers to indulge in their favorite hobby, guilt-free. Bringing new worlds to life, books enlighten us and transport us on exciting adventures. They can challenge our perspectives on the human experience in ways unmatched by other media. In a world deluged by technology, National Read a Book Day encourages us to silence the noise and turn the pages for a while.",n/a,,https://drive.google.com/file/d/1PnXyaUxzZLNYtbtXtkjGpDnwN9zCtgpq/view?usp=sharing,Annual
International Literacy Day,Cultural Events,8/9/2023,n/a,8/9/2023,n/a,n/a,n/a,Worldwide,A day to support the promotion of literacy as an integral part of lifelong learning.,https://en.unesco.org/commemorations/literacyday/2017,,https://drive.google.com/file/d/1lc0Y2wcXTbE6EDot0BxCi9bpjzwbc8kJ/view?usp=sharing,Annual
Roald Dahl Story Day,Cultural Events,19/9/2023,n/a,19/9/2023,n/a,n/a,n/a,Worldwide,The birthday of author Roald Dahl was chosen as a day to promote reading and raise money for the children's charities which Dahl supported in his lifetime.,https://www.eparenting.co.uk/books/roald_dahl_day.shtml,,https://drive.google.com/file/d/1DXDM6pIC1h6NQ82gVGT0teO5jq9_ZY9S/view?usp=sharing,Annual
U.N. International Day of Peace,Cultural Events,21/9/2023,n/a,21/9/2023,n/a,n/a,n/a,Worldwide,A globally shared date for all humanity to commit to Peace above all differences and to contribute to building a Culture of Peace.,http://internationaldayofpeace.org/,,https://drive.google.com/file/d/10IVssakDb4rGtwKv18Ft2eBkLnbX7r0N/view?usp=sharing,Annual
Hobbit Day,Cultural Events,9/23/2023,n/a,9/23/2023,n/a,n/a,n/a,Worldwide,Hobbit Day is celebrated on September 22 in reference to its being the birthday of the hobbits Bilbo and Frodo Baggins from J.R.R. Tolkien's Lord of the Rings.,n/a,,https://drive.google.com/file/d/1q73gKDuE09fG-oXNQhMXJxs16-GNzP0Q/view?usp=sharing,Annual
Black History Month,Cultural Events,1/10/2023,n/a,31/10/2023,n/a,n/a,n/a,Worldwide,"Black History Month is a month-long observance throughout October, devoted to education about the history of Black people and the celebration of their contributions to history.",https://www.blackhistorymonth.org.uk/,,https://drive.google.com/file/d/15li1IY3wd4gkGA0WSdMjfKnHpUlcaHJv/view?usp=sharing,Annual
National Poetry Day,Cultural Events,6/10/2023,n/a,6/10/2023,n/a,n/a,n/a,Worldwide,A day for celebrating poetry's power to bring people together.,https://nationalpoetryday.co.uk/,,https://drive.google.com/file/d/1qYvJWmfNhNI3toO9PMcsySidAW4YTCB8/view?usp=sharing,Annual
24 Hours Of Daytona,Sports & Leisure,26/1/2023,n/a,29/1/2023,n/a,n/a,"Daytona Beach, Florida",US,"24-hour sports car endurance race held annually at Daytona International Speedway in Daytona Beach, Florida, U.S.A.",https://www.24h-lemans.com/en,,https://drive.google.com/file/d/1CGsSuETrF7-xw2B7cRmGPI3IteL7ZFNR/view?usp=sharing,Annual
24 Hours Of Le Mans,Sports & Leisure,10/06/2023,n/a,11/06/2023,n/a,Circuit de la Sarthe,Le Mans,FR,The world's oldest active sports car race in endurance racing.,https://www.24h-lemans.com/en,,https://drive.google.com/file/d/1ZMunb848ICDXifNAB7xcACpxMmyu6Y8V/view?usp=sharing,Annual
Cash & Rocket Tours,Sports & Leisure,3/11/2023,n/a,9/11/2023,n/a,n/a,Barcelona,ESP,founded by Julie Brangstrup in 2011 to raise awarenes and help support women and children in Africa.,http://www.cashandrocket.com/the-tours/,,https://drive.google.com/file/d/1Wi-PICQlGt_xivtf7CqmWll8UwmBGeoz/view?usp=sharing,Annual
Concorso D'eleganza Villa D'este,Sports & Leisure,9/5/2023,n/a,11/5/2023,n/a,n/a,Milan,IT,The most significant of all events celebrating the mystique of Historic Cars.,https://www.concorsodeleganzavilladeste.com/,,https://drive.google.com/file/d/1Ew4JPFEeuG6L9LICXVYEVw9a7Fok_sNe/view?usp=sharing,Annual
Copenhagen Historic Grand Prix,Sports & Leisure,4/8/2023,n/a,6/8/2023,n/a,n/a,Copenhagen,DE,"since 2001. Vintage motor sports car race held annually on the grounds of Faelledparken in Copenhagen, Denmark.",https://chgp.dk/,,https://drive.google.com/file/d/1h2KkGAjBEdUDZ2xH0kTF9sIFVGzLpoC2/view?usp=sharing,Annual
Dakar Rally,Sports & Leisure,31/12/2022,n/a,15/01/2023,n/a,n/a,n/a,SA,since 1979. Annual rally raid type of off-road automobile race.,https://www.dakar.com/en/,,https://drive.google.com/file/d/1pXVrl7nj8SK_b-aaXZY7rg71zYK-6CkJ/view?usp=sharing,Annual
Eicma | Milan Motorcycle Exhibition,Sports & Leisure,TBA,n/a,TBA,n/a,Fiera Milano,Milan,IT,"(Esposizione Internazionale Ciclo Motociclo e Accessori). ""The biggest event in the world dedicated To 2 Wheels.""",https://www.eicma.it/en/,,https://drive.google.com/file/d/1Jdd8zGM3aXFn7MeElAHGA425Mtk-53uM/view?usp=sharing,Annual
Goodwood Revival,Sports & Leisure,8/9/2023,n/a,10/9/2023,n/a,n/a,West Sussex,UK,Three-day festival held each September at Goodwood Circuit since 1998 for the types of road racing cars and motorcycle that would have competed during the circuit's original period—1948–1966. Most people dress in period clothes. It is one of the world's most popular motor race meetings and the only UK event which recreates the golden era of motor sport from the 1950s and 1960s.,https://grrc.goodwood.com/section/goodwood-revival/#V26ApbCASs2VXzJQ.97,,https://drive.google.com/file/d/1Emxrkt-_jMj9kwx50nDLb-ZiADe6LI82/view?usp=sharing,Annual
Gumball 3000,Sports & Leisure,12/11/2022,n/a,20/11/2022,n/a,n/a,n/a,Middle East,"Annual British 3,000-mile (4,800 km) international motor rally which takes place on public roads.",http://www.gumball3000.com/,,https://drive.google.com/file/d/1ohwH6LVNZ4UlgHDrbBaLraeosc0Z2Imx/view?usp=sharing,Annual
Indianapolis 500,Sports & Leisure,28/5/2023,n/a,28/5/2023,n/a,n/a,Indianapolis,US,"Automobile race held annually at the Indianapolis Motor Speedway in Speedway, Indiana, an enclave suburb of Indianapolis, Indiana. The event is held over Memorial Day weekend, which is typically the last weekend in May.",http://www.indy500.com/,,https://drive.google.com/file/d/1BtrCIUiQZ7UJVdcdt3rZZ8SkT06EP2gR/view?usp=sharing,Annual
London To Brighton Veteran Car Run,Sports & Leisure,6/11/2022,n/a,6/11/2022,n/a,n/a,London,UK,The longest-running motoring event in the world.,https://www.veterancarrun.com/,,https://drive.google.com/file/d/1SyCyw8tEEtcqOD6VjYh6cNeM4qxDeRpV/view?usp=sharing,Annual
Mille Miglia In The World,Sports & Leisure,13/06/203,n/a,17/06/2023,n/a,n/a,Brescia,IT,"La Corsa più bella del Mondo."" Open-road endurance race which took place in Italy twenty-four times from 1927 to 1957 (thirteen before the war, eleven from 1947). Since 1977, the ""Mille Miglia"" has been reborn as a regularity race for classic and vintage cars. Participation is limited to cars, produced no later than 1957, which had attended (or were registered) to the original race. The route (Brescia-Rome round trip) is similar to that of the original race, maintaining the point of departure / arrival in Viale Venezia in Brescia.",http://www.1000miglia.it/index-en.php,,https://drive.google.com/file/d/1Je_c0CN17iYDI7iomn3Gp3CdQMNoq-HC/view?usp=sharing,Annual
Pebble Beach Concours D'elegance,Sports & Leisure,20/8/2023,n/a,20/8/2023,n/a,Pebble Beach Golf Links,"Pebble Beach, CA",US,"Automotive charitable event held each year on the Pebble Beach Golf Links in Pebble Beach, California, considered the most prestigious event of its kind.",https://pebblebeachconcours.net/,,https://drive.google.com/file/d/1C8qGJPvj69zrCcK0Ec5boN5xsSK2GpmD/view?usp=sharing,Annual
Rallye Monte-carlo Historique,Sports & Leisure,24/1/2023,n/a,1/2/2023,n/a,n/a,Monte-Carlo,MO,rallying event organised each year by the Automobile Club de Monaco. From its inception in 1911 by Prince Albert I it was an important means of demonstrating improvements and innovations to automobiles.,https://acm.mc/en/,,https://drive.google.com/file/d/1K_Rh2aVX59C9FNuP5vnCUC1sfzoiMzHx/view?usp=sharing,Annual
Rétromobile,Sports & Leisure,1/2/2023,n/a,5/2/2023,n/a,"Paris Expo, Porte de Versailles",Paris,FR,"Porte de Versailles Exhibition Centre, Pavillon 1, Paris, France. ""The must-see event that makes Paris into the automobile capital in February, Rétromobile brings alive the amazing story of Pegaso, presenting the most beautiful and astonishing models made by the legendary brand with its fascinating history… This is also an opportunity to look back at a period of contemporary history - the marque was born in post-war Spain - and to rediscover avant-garde cars that were the technological showcase of their time.""",https://www.retromobile.com/,,https://drive.google.com/file/d/1azqNKsxCDdJ2pHHD0xTAr1BpcBqvvw56/view?usp=sharing,Annual
St. James's Concours Of Elegance,Sports & Leisure,1/9/0203,n/a,3/9/2023,n/a,Hampton Court Palace,Molesley,UK,"the St James’s Concours of Elegance will be held in an area that encompasses the gardens of Marlborough House, Marlborough Road and St James’s Palace, the official residence of the Sovereign.",http://www.concoursofelegance.co.uk/,,https://drive.google.com/file/d/1LDWTjP9-FQYBQg99Cxzyp7qC6knKSJsl/view?usp=sharing,Annual
Top Marques Monaco,Sports & Leisure,08/06/2023,n/a,11/06/2023,n/a,Grimaldi Forum Monaco,Princesse Grace,MO,"The most exclusive, live supercar show in the world."" Since 2003. Under the High Patronage of H.S.H. Prince Albert II of Monaco. Exhibiting Top Marques Supercars, Watches, and Superboats. Grimaldi Forum, 10, avenue Princesse Grace, MC-9800 Monte-Carlo, Monaco.",https://www.topmarquesmonaco.com/,,https://drive.google.com/file/d/1OhAakIoSJXsaHomuoUnKevVJuoDmAYKz/view?usp=sharing,Annual
The Washington Auto Show,Sports & Leisure,20/1/2023,n/a,29/1/2023,n/a,n/a,"Washington, DC",US,"The Washington Auto Show is a 10-day public show held annually at the Walter E. Washington Convention Centre. Taking place every winter, it's one of the most popular automotive events on the east coast, and the largest show of its kind in DC.",www.wanada.org,,https://drive.google.com/file/d/1E4rp665JLg8cu8l2IO_klCweSiX1NSsv/view?usp=sharing,Annual
Bangkok International Motor Show,Sports & Leisure,22/03/2023,n/a,22/03/2023,n/a,n/a,Bangkok,TH,"The Bangkok International Motor Show is a motor show located in Bangkok, Thailand. It is also known as the ""Thailand Motor Show"" among automotive enthusiasts. The show takes place annually at the Challenger 1-3, Impact, Muang Thong Thani Center.",www.bangkok-motorshow.com/main.php,,https://drive.google.com/file/d/1k1r0yL2R5MMxwPQKlaT7uoTORJiSVpNH/view?usp=sharing,Annual
"Milan, Transpotec Logitec",Sports & Leisure,18/03/2023,n/a,21/03/2023,n/a,n/a,Milan,IT,Transpotec Logitec is an integrated 360-degree business and content platform for transport and logistics development. A representative offer of all the components of the market.,www.transpotec.com/en,,https://drive.google.com/file/d/1DxWsMg8YTXk3bvTppT7gXWFmtJSR_azB/view?usp=sharing,Annual
Adobe Summit North America ,Business & Finance,21/03/2023,n/a,23/03/2023,n/a,n/a,"Las Vegas, NV",US,"Adobe Summit, formerly Omniture Summit, is an bi-annual event held by Adobe in which enterprise customers are presented with solutions for advertising, analytics, marketing automation, commerce, and managing customer experiences.",https://summit.adobe.com/na/,,https://drive.google.com/file/d/1PkV1Haq8K09g9HX2mC8gc367QJCLiRh4/view?usp=sharing,Annual
Rethink Corporate Finance,Business & Finance,15/9/2023,n/a,15/9/2023,n/a,n/a,Hamburg,GE,"The Rethink Corporate Finance is the strategy event for CFOs and finance decision makers,about current projects and innovative technologies & trends.",https://www.rethink-corporate-finance.de/,,https://drive.google.com/file/d/1hDsjM6lGGemuR-h_vdKXsxUqcmNjKpmd/view?usp=sharing,Annual
Social Media Week,Business & Finance,21/06/2023,n/a,22/06/2023,n/a,UNOH Event Center,"Lima, Ohio",US,"Social Media Week represents a splendid union of creators and leading marketers gathering to share their perspectives on a digital revolution. Choose from premium, standard and virtual passes to access unique privileges designed to enhance your experience.",https://event.adweek.com/smw-2022,,https://drive.google.com/file/d/1nVoHHmV8PoVOotj0HIyX3wD9vX9c4PUT/view?usp=sharing,Annual
Dublin Tech Summit,Business & Finance,31/05/2023,n/a,1/6/2023,n/a,TBA,Dublin,Ireland,"The Dublin Tech Summit is an international technology conference held in Dublin, Ireland. The first summit took place on 15 and 16 February 2017, at the Convention Centre Dublin in the city's Silicon Docks area. Irish telecoms firm Eir was a founding partner of the Dublin Tech Summit and a lead sponsor.",https://dublintechsummit.tech/,,https://drive.google.com/file/d/1m0_MKpLzIL1fRtjvZSekMpcm6iCE4nB1/view?usp=sharing,Annual
#MarTechFest Global,Business & Finance,13/09/2023,n/a,14/09/2023,n/a,n/a,Dubai,UAE,"#MarTechFest Global is organized by MarTech Alliance which is a marketing technology media company focused on making marketing technology simple. They offer martech consultancy, events and learning.",https://www.lxahub.com/,,https://drive.google.com/file/d/1Ax5Jb6Bl3X1iDSuGfCzWm6rz3rGHfmFB/view?usp=sharing,Annual
BlockChain Expo Europe,Business & Finance,26/09/2023,n/a,27/09/2023,n/a,n/a,Barcelona,ESP,The Blockchain Expo Conference will be hosted on 20-21 September 2022 for its sixth annual event. This free to attend conference and exhibition will bring together key industries for two days of top-level content and thought leadership discussions across 6 co-located events at the RAI in Amsterdam and online.,https://blockchain-expo.com/europe/,,https://drive.google.com/file/d/1O1FRCrFhnhal6U_B7PyxD5iTzb1P6AlZ/view?usp=sharing,Annual
Forbes The Culture Culturally Accountable Summit,Business & Finance,16/1/2023,n/a,16/1/2023,n/a,n/a,n/a,Worldwide,n/a,https://www.forbes.com/sites/forbesinnovationteam/2022/01/18/2022-forbes-the-culture-culturally-accountable-summit/?sh=3ef01ae5303f,,https://drive.google.com/file/d/1idvej8sX_K3VMiUQmdwQYgSArD-n0XfP/view?usp=sharing,Annual
